,Date,Value,location,parameter,longitude,latitude,Date_Converted
117,2024-08-02T13:00:00+00:00,5.4,1069,pm25,-122.7455,45.39916,2024-08-02 13:00:00+00:00
118,2024-08-02T12:00:00+00:00,5.4,1069,pm25,-122.7455,45.39916,2024-08-02 12:00:00+00:00
119,2024-08-02T11:00:00+00:00,5.1,1069,pm25,-122.7455,45.39916,2024-08-02 11:00:00+00:00
120,2024-08-02T10:00:00+00:00,4.8,1069,pm25,-122.7455,45.39916,2024-08-02 10:00:00+00:00
121,2024-08-02T09:00:00+00:00,4.6,1069,pm25,-122.7455,45.39916,2024-08-02 09:00:00+00:00
122,2024-08-02T08:00:00+00:00,4.6,1069,pm25,-122.7455,45.39916,2024-08-02 08:00:00+00:00
123,2024-08-02T07:00:00+00:00,4.9,1069,pm25,-122.7455,45.39916,2024-08-02 07:00:00+00:00
124,2024-08-02T06:00:00+00:00,5.5,1069,pm25,-122.7455,45.39916,2024-08-02 06:00:00+00:00
125,2024-08-02T05:00:00+00:00,6.1,1069,pm25,-122.7455,45.39916,2024-08-02 05:00:00+00:00
126,2024-08-02T04:00:00+00:00,9,1069,pm25,-122.7455,45.39916,2024-08-02 04:00:00+00:00
127,2024-08-02T03:00:00+00:00,11.8,1069,pm25,-122.7455,45.39916,2024-08-02 03:00:00+00:00
128,2024-08-02T02:00:00+00:00,12.1,1069,pm25,-122.7455,45.39916,2024-08-02 02:00:00+00:00
129,2024-08-02T01:00:00+00:00,19.8,1069,pm25,-122.7455,45.39916,2024-08-02 01:00:00+00:00
130,2024-08-02T00:00:00+00:00,21.6,1069,pm25,-122.7455,45.39916,2024-08-02 00:00:00+00:00
131,2024-08-01T23:00:00+00:00,14.7,1069,pm25,-122.7455,45.39916,2024-08-01 23:00:00+00:00
132,2024-08-01T22:00:00+00:00,11.5,1069,pm25,-122.7455,45.39916,2024-08-01 22:00:00+00:00
133,2024-08-01T21:00:00+00:00,10.6,1069,pm25,-122.7455,45.39916,2024-08-01 21:00:00+00:00
134,2024-08-01T20:00:00+00:00,10,1069,pm25,-122.7455,45.39916,2024-08-01 20:00:00+00:00
135,2024-08-01T19:00:00+00:00,9.4,1069,pm25,-122.7455,45.39916,2024-08-01 19:00:00+00:00
136,2024-08-01T18:00:00+00:00,9,1069,pm25,-122.7455,45.39916,2024-08-01 18:00:00+00:00
137,2024-08-01T17:00:00+00:00,8.5,1069,pm25,-122.7455,45.39916,2024-08-01 17:00:00+00:00
138,2024-08-01T16:00:00+00:00,7,1069,pm25,-122.7455,45.39916,2024-08-01 16:00:00+00:00
139,2024-08-01T15:00:00+00:00,7,1069,pm25,-122.7455,45.39916,2024-08-01 15:00:00+00:00
140,2024-08-01T14:00:00+00:00,5.6,1069,pm25,-122.7455,45.39916,2024-08-01 14:00:00+00:00
141,2024-08-01T13:00:00+00:00,6.5,1069,pm25,-122.7455,45.39916,2024-08-01 13:00:00+00:00
142,2024-08-01T12:00:00+00:00,8.8,1069,pm25,-122.7455,45.39916,2024-08-01 12:00:00+00:00
143,2024-08-01T11:00:00+00:00,6.8,1069,pm25,-122.7455,45.39916,2024-08-01 11:00:00+00:00
144,2024-08-01T10:00:00+00:00,6,1069,pm25,-122.7455,45.39916,2024-08-01 10:00:00+00:00
145,2024-08-01T09:00:00+00:00,5.9,1069,pm25,-122.7455,45.39916,2024-08-01 09:00:00+00:00
146,2024-08-01T08:00:00+00:00,6.3,1069,pm25,-122.7455,45.39916,2024-08-01 08:00:00+00:00
147,2024-08-01T07:00:00+00:00,5.8,1069,pm25,-122.7455,45.39916,2024-08-01 07:00:00+00:00
148,2024-08-01T06:00:00+00:00,5,1069,pm25,-122.7455,45.39916,2024-08-01 06:00:00+00:00
149,2024-08-01T05:00:00+00:00,6,1069,pm25,-122.7455,45.39916,2024-08-01 05:00:00+00:00
150,2024-08-01T04:00:00+00:00,5.6,1069,pm25,-122.7455,45.39916,2024-08-01 04:00:00+00:00
151,2024-08-01T03:00:00+00:00,5,1069,pm25,-122.7455,45.39916,2024-08-01 03:00:00+00:00
152,2024-08-01T02:00:00+00:00,4.4,1069,pm25,-122.7455,45.39916,2024-08-01 02:00:00+00:00
153,2024-08-01T01:00:00+00:00,3.9,1069,pm25,-122.7455,45.39916,2024-08-01 01:00:00+00:00
154,2024-08-01T00:00:00+00:00,4.3,1069,pm25,-122.7455,45.39916,2024-08-01 00:00:00+00:00
155,2024-07-31T23:00:00+00:00,3.9,1069,pm25,-122.7455,45.39916,2024-07-31 23:00:00+00:00
156,2024-07-31T22:00:00+00:00,3.5,1069,pm25,-122.7455,45.39916,2024-07-31 22:00:00+00:00
157,2024-07-31T21:00:00+00:00,5.6,1069,pm25,-122.7455,45.39916,2024-07-31 21:00:00+00:00
158,2024-07-31T20:00:00+00:00,6.2,1069,pm25,-122.7455,45.39916,2024-07-31 20:00:00+00:00
159,2024-07-31T19:00:00+00:00,6.8,1069,pm25,-122.7455,45.39916,2024-07-31 19:00:00+00:00
160,2024-07-31T18:00:00+00:00,7.2,1069,pm25,-122.7455,45.39916,2024-07-31 18:00:00+00:00
161,2024-07-31T17:00:00+00:00,6.9,1069,pm25,-122.7455,45.39916,2024-07-31 17:00:00+00:00
162,2024-07-31T16:00:00+00:00,6.6,1069,pm25,-122.7455,45.39916,2024-07-31 16:00:00+00:00
163,2024-07-31T15:00:00+00:00,6.9,1069,pm25,-122.7455,45.39916,2024-07-31 15:00:00+00:00
164,2024-07-31T14:00:00+00:00,7.1,1069,pm25,-122.7455,45.39916,2024-07-31 14:00:00+00:00
165,2024-07-31T13:00:00+00:00,5.8,1069,pm25,-122.7455,45.39916,2024-07-31 13:00:00+00:00
166,2024-07-31T12:00:00+00:00,4.6,1069,pm25,-122.7455,45.39916,2024-07-31 12:00:00+00:00
167,2024-07-31T11:00:00+00:00,4.1,1069,pm25,-122.7455,45.39916,2024-07-31 11:00:00+00:00
168,2024-07-31T10:00:00+00:00,4.2,1069,pm25,-122.7455,45.39916,2024-07-31 10:00:00+00:00
169,2024-07-31T09:00:00+00:00,4.7,1069,pm25,-122.7455,45.39916,2024-07-31 09:00:00+00:00
170,2024-07-31T08:00:00+00:00,3.9,1069,pm25,-122.7455,45.39916,2024-07-31 08:00:00+00:00
171,2024-07-31T07:00:00+00:00,4,1069,pm25,-122.7455,45.39916,2024-07-31 07:00:00+00:00
172,2024-07-31T06:00:00+00:00,4.2,1069,pm25,-122.7455,45.39916,2024-07-31 06:00:00+00:00
173,2024-07-31T05:00:00+00:00,4,1069,pm25,-122.7455,45.39916,2024-07-31 05:00:00+00:00
174,2024-07-31T04:00:00+00:00,4.1,1069,pm25,-122.7455,45.39916,2024-07-31 04:00:00+00:00
175,2024-07-31T03:00:00+00:00,3.9,1069,pm25,-122.7455,45.39916,2024-07-31 03:00:00+00:00
176,2024-07-31T02:00:00+00:00,3.8,1069,pm25,-122.7455,45.39916,2024-07-31 02:00:00+00:00
177,2024-07-31T01:00:00+00:00,3.6,1069,pm25,-122.7455,45.39916,2024-07-31 01:00:00+00:00
178,2024-07-31T00:00:00+00:00,3.5,1069,pm25,-122.7455,45.39916,2024-07-31 00:00:00+00:00
179,2024-07-30T23:00:00+00:00,3.4,1069,pm25,-122.7455,45.39916,2024-07-30 23:00:00+00:00
180,2024-07-30T22:00:00+00:00,3.3,1069,pm25,-122.7455,45.39916,2024-07-30 22:00:00+00:00
181,2024-07-30T21:00:00+00:00,3.2,1069,pm25,-122.7455,45.39916,2024-07-30 21:00:00+00:00
182,2024-07-30T20:00:00+00:00,3.3,1069,pm25,-122.7455,45.39916,2024-07-30 20:00:00+00:00
183,2024-07-30T19:00:00+00:00,3.1,1069,pm25,-122.7455,45.39916,2024-07-30 19:00:00+00:00
184,2024-07-30T18:00:00+00:00,2.9,1069,pm25,-122.7455,45.39916,2024-07-30 18:00:00+00:00
185,2024-07-30T17:00:00+00:00,2.8,1069,pm25,-122.7455,45.39916,2024-07-30 17:00:00+00:00
186,2024-07-30T16:00:00+00:00,3,1069,pm25,-122.7455,45.39916,2024-07-30 16:00:00+00:00
187,2024-07-30T15:00:00+00:00,2.8,1069,pm25,-122.7455,45.39916,2024-07-30 15:00:00+00:00
188,2024-07-30T14:00:00+00:00,2.8,1069,pm25,-122.7455,45.39916,2024-07-30 14:00:00+00:00
189,2024-07-30T13:00:00+00:00,2.8,1069,pm25,-122.7455,45.39916,2024-07-30 13:00:00+00:00
190,2024-07-30T12:00:00+00:00,2.5,1069,pm25,-122.7455,45.39916,2024-07-30 12:00:00+00:00
191,2024-07-30T11:00:00+00:00,2.2,1069,pm25,-122.7455,45.39916,2024-07-30 11:00:00+00:00
192,2024-07-30T10:00:00+00:00,2.1,1069,pm25,-122.7455,45.39916,2024-07-30 10:00:00+00:00
193,2024-07-30T09:00:00+00:00,2,1069,pm25,-122.7455,45.39916,2024-07-30 09:00:00+00:00
194,2024-07-30T08:00:00+00:00,2.1,1069,pm25,-122.7455,45.39916,2024-07-30 08:00:00+00:00
195,2024-07-30T07:00:00+00:00,2.6,1069,pm25,-122.7455,45.39916,2024-07-30 07:00:00+00:00
196,2024-07-30T06:00:00+00:00,2.9,1069,pm25,-122.7455,45.39916,2024-07-30 06:00:00+00:00
197,2024-07-30T05:00:00+00:00,3.5,1069,pm25,-122.7455,45.39916,2024-07-30 05:00:00+00:00
198,2024-07-30T04:00:00+00:00,4.2,1069,pm25,-122.7455,45.39916,2024-07-30 04:00:00+00:00
199,2024-07-30T03:00:00+00:00,4.4,1069,pm25,-122.7455,45.39916,2024-07-30 03:00:00+00:00
